Brand,Color,Price,no_of_star,rating,discount,Model,Ton,annual_electricity_Consumption
Voltas,White,"32,490",3,4,4,2023,1.5,975.26
SAMSUNG,White,"30,490",3,4,5,,1.5,940.09
Daikin,White,"25,999",3,4,3,2023,0.8,548.84
Daikin,White,"37,999",3,4,3,2023,1.5,761.33
Whirlpool,,"37,990",5,3,4,2023,1.5,694.03
Godrej,,"29,490",3,4,3,2023,,966.47
Haier,,"31,990",3,4,5,2023,1.5,925.24
Blue,,"28,999",3,4,3,2023,0.8,571.99
LG,,"31,490",5,4,4,,,751.28
Voltas,White,"39,490",5,4,4,2023,1.5,883.14
Godrej,,"34,490",4,4,3,2023,1.5,521.6
Blue,,"35,900",3,4,4,2023,1.5,1002.84
Panasonic,,"36,490",3,4,3,2023,1.5,794.34
Lloyd,White,"39,990",5,4,4,2023,1.5,1002.72
Lloyd,White,"33,499",3,4,4,2023,1.5,999.49
Whirlpool,,"34,490",4,3,4,2023,1.5,854.16
Godrej,,"37,990",5,4,3,2023,1.5,744.39
Daikin,White,"45,490",5,4,3,2023,1.5,977.8
Voltas,White,"25,999",3,4,4,,0.75,612.82
SAMSUNG,White,"35,490",3,4,4,2023,1.5,727.66
CARRIER,White,"33,490",5,4,4,,1.2,785.67
Godrej,White,"26,149",3,3,3,2023,1.5,857.36
Godrej,White,"31,313",3,4,3,,1.5,1216.12
Blue,,"35,990",5,4,4,,1.5,748.27
Godrej,,"32,490",3,4,3,2023,1.5,975.26
Whirlpool,,"27,490",3,3,5,2023,0.8,940.09
LG,White,"35,990",3,,5,2023,1.5,548.84
Haier,,"32,990",2,4,4,2023,1.5,761.33
Godrej,White,"36,990",3,3,4,,,694.03
Voltas,White,"39,490",5,4,4,2023,1.5,966.47
Whirlpool,,"32,790",3,3,4,2023,1.5,925.24
Panasonic,White,"19,999",5,,3,,,571.99
SAMSUNG,White,"38,990",5,4,4,,1.5,751.28
Lloyd,White,"32,990",3,4,4,,1.5,883.14
Blue,,"35,990",3,4,4,2023,1.5,521.6
Blue,,"32,690",3,4,3,2023,,1002.84
LG,,"36,699",3,4,5,2023,1.5,794.34
Daikin,White,"36,980",3,4,3,,1.5,1002.72
Hitachi,White,"37,199",3,,4,2023,1.5,999.49
Panasonic,,"44,490",5,4,2,2023,1.5,854.16
IFB,White,"35,490",5,4,3,,1.5,744.39
Haier,,"39,490",5,4,4,2023,1.5,977.8
Blue,,"43,990",5,4,3,2023,1.5,612.82
Whirlpool,,"32,990",3,3,4,2023,1.5,727.66
CANDY,White,"27,490",3,4,4,2023,,785.67
SAMSUNG,White,"38,990",4,4,4,2023,1.5,857.36
LG,White,"33,990",3,4,4,2023,1.5,1216.12
Whirlpool,White,"31,990",5,4,4,2023,,748.27
Blue,White,"24,990",3,4,1,2023,0.8,975.26
Haier,,"30,999",3,4,4,2023,1.3,940.09
LG,,"34,999",3,4,4,,1.5,548.84
LG,,"44,490",5,4,4,2023,1.5,761.33
CARRIER,White,"23,990",3,4,3,,,694.03
SAMSUNG,White,"36,999",5,4,3,2023,,966.47
Voltas,White,"28,249",3,4,3,,1.5,925.24
