Brand,Color,Price,no_of_star,rating,discount,Ton,annual_electricity_Consumption
Voltas,White,32490,3,4.2,48,1.5,624.48
SAMSUNG,White,30490,3,4.2,51,1.5,1123.77
Haier,White,31990,3,4,50,1.5,686.48
Voltas,White,39490,5,4.2,48,1.5,704.42
Blue star,White,35900,3,4.2,42,1.5,1134.28
Daikin,White,37999,3,4.2,34,1.5,589.14
Panasonic,White,36490,3,4.3,34,1.5,1015.62
Whirlpool,White,34490,4,3.9,48,1.5,1114.71
Voltas,White,28200,3,4.1,34,1.5,1049.79
SAMSUNG,White,35490,3,4.1,41,1.5,752.43
Daikin,White,45490,5,4.2,32,1.5,1123.23
Voltas,White,25999,3,4.1,46,0.75,577.43
Lloyd,White,39990,5,4.2,41,1.5,824.08
Godrej,White,26149,3,3.9,37,1.5,1050.84
LG,White,35990,3,3.9,55,1.5,1123.23
Godrej,White,37990,5,4,30,1.5,624.48
Whirlpool,White,27490,3,3.9,50,0.8,962.49
CARRIER,White,33490,5,4.1,49,1.2,1123.77
SAMSUNG,White,38990,5,4.2,40,1.5,686.48
Panasonic,White,44490,5,4.3,29,1.5,704.42
ONIDA,White,31490,3,4.2,49,1.5,1134.28
Whirlpool,White,32990,3,3.9,47,1.5,589.14
SAMSUNG,White,36490,3,4,41,1.5,968.61
IFB,White,35490,5,4.2,34,1.5,1114.71
SAMSUNG,White,38990,4,4.1,40,1.5,1049.79
Haier,White,39490,5,4,44,1.5,752.43
Godrej,White,32490,3,4.1,30,1.5,1123.23
Voltas,White,39490,5,4.1,48,1.5,577.43
Lloyd,White,32990,3,4.2,45,1.5,824.08
LG,White,36990,3,4.2,53,1.5,1050.84
Godrej,White,31313,3,4,31,1.5,624.48
Blue star,White,35990,3,4.2,41,1.5,962.49
Haier,White,32990,2,4.1,44,1.5,624.48
LG,White,33990,3,4.1,48,1.5,686.48
Voltas,White,35470,5,4.1,29,1.5,704.42
Voltas,White,31499,3,4.2,32,1.5,968.61
MarQ,White,28990,3,4.1,43,1.5,1114.71
LG,White,35990,3,4.1,47,1.5,1049.79
Lloyd,White,37999,3,4.2,41,1.5,1123.23
realme,White,32999,5,4.1,45,1.5,577.43
LG,White,44490,5,4.1,41,1.5,824.08
CARRIER,White,37999,4,4.1,45,1.5,1050.84
MarQ,White,25990,3,4.1,42,0.8,1123.23
LG,White,34999,3,4.1,49,1.5,624.48
LG,White,44490,5,4.1,48,1.5,962.49
Panasonic,White,39933,4,4.1,42,1.5,624.48
Voltas,White,34490,5,4.2,31,1.5,686.48
realme,White,28999,4,4.1,43,1.2,704.42
Hitachi,White,28990,3,4.1,18,1.5,1015.62
Panasonic,White,41990,5,4.1,33,1.5,968.61
MarQ,White,28990,3,4.1,45,1.5,1049.79
Blue star,White,33990,3,4.2,40,1.3,1123.23
Voltas,White,32439,3,4.2,50,1.5,577.43
CARRIER,White,45999,5,4,43,1.5,824.08
Hitachi,White,55990,4,3.9,41,1.8,1050.84
Blue star,White,32990,3,4.2,42,1.2,1123.23
Hitachi,White,35499,3,4.2,42,1.5,624.48
LG,White,33990,3,4.1,50,1.2,1123.77
SAMSUNG,White,42500,5,4.1,41,1.5,686.48
Daikin,White,46499,5,4.2,34,1.5,589.14
SAMSUNG,White,44499,5,4,39,1.5,1015.62
IFB,White,43990,5,4.2,25,1.5,968.61
Haier,White,36999,4,4,47,1.5,1049.79
Lloyd,White,39999,5,4.2,41,1.5,752.43
LG,White,49990,5,4.1,39,1.5,1123.23
