Brand,Color,Price,no_of_star,rating,discount,Model,Ton,annual_electricity_Consumption
Voltas,White,32490,3,4.2,48.0,2023,1.5,624.48
SAMSUNG,White,30490,3,4.2,51.0,,1.5,1123.77
Daikin,White,25999,3,4.1,30.0,2023,0.8,
Haier,,31990,3,4,50.0,2023,1.5,686.48
Whirlpool,,37990,5,3.9,46.0,2023,1.5,
Godrej,,29490,3,4.1,31.0,2023,,
Blue,,28999,3,4.2,30.0,2023,0.8,
Voltas,White,39490,5,4.2,48.0,2023,1.5,704.42
Blue,,35900,3,4.2,42.0,2023,1.5,1134.28
Daikin,White,37999,3,4.2,34.0,2023,1.5,589.14
Panasonic,,36490,3,4.3,34.0,2023,1.5,1015.62
Godrej,,34490,4,4.1,31.0,2023,1.5,
LG,,31490,5,4.2,49.0,,,968.61
Lloyd,White,33499,3,4.2,44.0,2023,1.5,
Whirlpool,,34490,4,3.9,48.0,2023,1.5,1114.71
Voltas,White,28200,3,4.1,34.0,,1.5,1049.79
SAMSUNG,White,35490,3,4.1,41.0,2023,1.5,752.43
Daikin,White,45490,5,4.2,32.0,2023,1.5,1123.23
Voltas,White,25999,3,4.1,46.0,,0.75,577.43
Lloyd,White,39990,5,4.2,41.0,2023,1.5,824.08
Godrej,White,26149,3,3.9,37.0,2023,1.5,1050.84
LG,White,35990,3,3.9,55.0,2023,1.5,1123.23
Godrej,,37990,5,4,30.0,2023,1.5,624.48
Whirlpool,,27490,3,3.9,50.0,2023,0.8,962.49
Blue,,32690,3,4.2,36.0,2023,,624.48
CARRIER,White,33490,5,4.1,49.0,,1.2,1123.77
CARRIER,White,23990,3,4.2,35.0,,,
SAMSUNG,White,38990,5,4.2,40.0,,1.5,686.48
Daikin,White,32990,3,4.2,31.0,2023,,
Blue,,43990,5,4.2,39.0,2023,1.5,
Blue,,35990,5,4.2,48.0,,1.5,
Panasonic,,44490,5,4.3,29.0,2023,1.5,704.42
ONIDA,White,31490,3,4.2,49.0,,1.5,1134.28
Whirlpool,,32990,3,3.9,47.0,2023,1.5,589.14
Whirlpool,White,31990,5,4.1,47.0,2023,,1015.62
Haier,,30999,3,4,48.0,2023,1.3,
SAMSUNG,W,36490,3,4,41.0,2023,1.5,968.61
Whirlpool,,32790,3,3.9,47.0,2023,1.5,
IFB,White,35490,5,4.2,34.0,,1.5,1114.71
SAMSUNG,White,38990,4,4.1,40.0,2023,1.5,1049.79
Haier,,39490,5,4,44.0,2023,1.5,752.43
Godrej,,32490,3,4.1,30.0,2023,1.5,1123.23
Voltas,White,39490,5,4.1,48.0,2023,1.5,577.43
Lloyd,White,32990,3,4.2,45.0,,1.5,824.08
LG,,36990,3,4.2,53.0,2023,1.5,1050.84
Voltas,White,26639,3,4,33.0,,,1123.23
Godrej,White,31313,3,4,31.0,,1.5,624.48
Blue,,35990,3,4.2,41.0,2023,1.5,962.49
Haier,,32990,2,4.1,44.0,2023,1.5,624.48
LG,,33490,5,4.2,46.0,,,1123.77
Voltas,White,30490,3,4.2,49.0,2023,1.2,
LG,White,33990,3,4.1,48.0,2023,1.5,686.48
realme,,30490,4,4.1,44.0,,1.5,
Panasonic,White,19999,5,,39.0,,,
Blue,White,24990,3,4.1,16.0,2023,0.8,
Voltas,White,35470,5,4.1,29.0,2023,1.5,704.42
Godrej,White,36990,3,3.9,47.0,,,1134.28
Godrej,,33490,5,4.1,31.0,2023,,589.14
CANDY,White,27490,3,4,49.0,2023,,1015.62
realme,White,29999,4,4.1,43.0,,1.5,
Voltas,White,31499,3,4.2,32.0,2023,1.5,968.61
Panasonic,White,28990,3,4.3,39.0,,,
MarQ,,28990,3,4.1,43.0,,1.5,1114.71
LG,,35990,3,4.1,47.0,2023,1.5,1049.79
CARRIER,,30990,3,4.1,45.0,2023,,752.43
Lloyd,White,37999,3,4.2,41.0,2023,1.5,1123.23
realme,,32999,5,4.1,45.0,,1.5,577.43
LG,,44490,5,4.1,41.0,2023,1.5,824.08
CARRIER,White,37999,4,4.1,45.0,2023,1.5,1050.84
MarQ,,25990,3,4.1,42.0,,0.8,1123.23
LG,,34999,3,4.1,49.0,,1.5,624.48
LG,,44490,5,4.1,48.0,2023,1.5,962.49
Panasonic,White,39933,4,4.1,42.0,,1.5,624.48
realme,,29490,5,4.1,42.0,,,1123.77
Hitachi,White,31984,,3.9,46.0,,,
Voltas,White,34490,5,4.2,31.0,,1.5,686.48
MarQ,,30999,4,4.1,42.0,,1.5,
Daikin,White,36999,3,4.1,36.0,,1.5,
CARRIER,,36999,5,4.1,44.0,2023,1.2,
realme,,28999,4,4.1,43.0,,1.2,704.42
SAMSUNG,Whi,32990,3,4,35.0,2023,,1134.28
Thomson,White,26499,2,4.1,28.0,2023,,589.14
Hitachi,White,28990,3,4.1,18.0,2023,1.5,1015.62
NU,White,29990,3,3.6,39.0,2023,1.5,
Panasonic,White,41990,5,4.1,33.0,,1.5,968.61
Panasonic,,35490,3,4.1,34.0,2023,1.5,
Haier,,36490,4,3.7,42.0,2023,,1114.71
